Location,lat,lon
dufferin and jane osle,,
mccowan and finch,,
dufferin and shanly,,
scarborough town centr,,
kennedy and steeles,,
eglinton and russel hi,,
wilson station (upper),43.7349317,-79.4510828
kipling loop (kipling,43.5990103,-79.5175762
martin grove loop,43.7566739,-79.6077571
military hill and scen,,
kennedy and pertshire,,
sheppard and rivalda,,
kingston and scarborou,,
lake shore and thirtee,,
yonge and wellington,,
fincdene and pullman,,
north service rd - ken,,
lawrence and dufferin,,
islington and birmingh,,
the west mall and burn,,
malvern division,,
wilson garage,,
lakeshore and browns l,,
mt. dennis division,,
islington and bloor,,
yonge and shuter,,
finch and weston,,
scarborough center sta,,
triton and borough,,
kingston and st clair,,
sherway gardens,43.6118845,-79.557785
queensway and windemer,,
wilson and transit rd,,
eglington and trethewe,,
lawrence and weston,,
sheppard station,43.7614518,-79.4109148
colonel samuel smith l,43.5955234,-79.5157698
wilson and collision,,
keele and eglinton,,
steeles and morningsid,,
st dennis and linkwood,,
sherbourne stn,43.6722204,-79.3765517
oakwood and vaughn,,
craigton and pharmacy,,
brimorton drive and or,,
eglinton and midland,,
overlea and don mills,,
transway crescent,43.7315186,-79.2643032
don mills and gateway,,
dundas west stn,43.6569034,-79.4538796
eglinton and birchmoun,,
warden and st. clair,,
york mills and leslie,,
wolseley loop,43.6482561,-79.4040053
lawrence and bayview,,
jane and st clair,,
kingston and brimley,,
sheppard and markham,,
weston and finch,,
dundas and old dundas,,
church and weston,43.6751025,-79.4584327
lawrence and pimilico,,
atlantic and king,,
mcnicoll and boxdene,,
concorde place and con,,
malvern garage,,
black creek and eglint,,
lawrence west and apex,,
lawrence and kennedy,,
york mills and banbury,,
1445 danforth ave,43.6826401,-79.3269615
eglinton and marlee,,
dundas and annette,,
mt. dennis garage,43.6929001,-79.4949498
lawrence and warden,,
queen and lansdowne,,
sherbourne and bloor,,
eglinton and mccowan (,,
victoria park and finc,,
midland and steeles,,
eglinton and glenholme,,
sentinel road and derr,,
eglinton and caledonia,,
lawrence and brockley,,
eglinton and mccowan,,
weston and church,,
evans and the east mal,,
ossington and dundas,,
ellesmere and military,,
oakwood and davenport,,
dundas west and scarle,,
lawrence and pine,,
progress and markham,,
sheppard and bathurst,,
avenue and clements,,
lawrence and don mills,,
midland and ellesmere,43.7684827,-79.270448
warden and sheppard,,
industry st and mt den,,
lakeshore and lower ja,,
dundas and pacific,,
steeles and warden,,
kennedy and progress,,
123 parkway forest dri,,
woodbine and barker,,
warden and danforth,,
yonge and shaftesbury,,
steeles and jane,,
york mills and don mil,,
markham and select,,
warden loop,,
bloor and bathurst,43.6667497,-79.4120336
eglinton and falmouth,,
mcnicholl division,,
mount dennis division,,
coxwell and danforth,,
mt dennis division,,
moriningstar and night,,
yonge and shaftsbury,,
avenue and davenport,43.6464574,-79.4293902
rougeside and birchmou,,
queens quay and jarvis,,
eglinton and kennedy,,
sheppard and morningsi,,
warden and bamburgh,,
scatle frank station,,
lawrence and kingston,,
steeles and highway 40,,
steeles and markham rd,,
kennedy and eglinton,43.733246,-79.2625089
finch and mccowan,,
birchmount and parnell,,
york mills and valenti,,
queens quay and docksi,,
st clair and jane,,
fifeshire and carluke,,
kennedy and ellesmere,,
bedford and st george,,
neilson and finch,,
keele and regis,,
greenwin village and b,,
lawrence and duval,,
don mills stn,43.7758147,-79.3463477
davenport and lansdown,,
wright and jane,,
morning star and cambr,,
st. clair and dufferin,,
birchmount and highvie,,
meadowvale loop,43.8091292,-79.1707742
fairford and coxwell,,
mcnicoll and midland,,
nugget and shorting,,
don mills and the donw,,
queensway and culnan,,
keele and lawrence,,
brimley and eglinton,,
markham and progress,,
don mills and wynford,,
steeles loop and victo,,
markham and eglinton,,
bathurst and barton,,
sheppard and brimley,,
lawrence and scarborou,,
disco and attwell,,
castlefrank station,,
york mills and baryvie,,
victoria park and elle,,
eglinton and victoria,,
queens quay and sherbo,,
islington and evans,,
lawrence and victoria,,
keele and st. clair,,
rylander and kingston,,
morning side and night,,
sheppard and durnford,,
steeles and don mills,,
valley woods and york,,
midland and lawrence,43.7516076,-79.2652374
queen and alton,,
shpeppard west station,,
sentinel and fredrick,,
victoria park and stee,,
bellamy and eglinton,,
st clair and danforth,,
prince's and canada,,
lawrence between duffe,,
finch and rumike,,
finch and torresdale,,
eglinton and yonge,43.706892,-79.3992228
ian macdonald and york,,
bloor and indian,,
yonge and nipigon,,
yonge and anndale,,
bathurst and queen,,
jane and harshaw,,
lawrence and pharmacy,,
centenary hospital loo,,
finchdene sq and finch,,
esplande and yonge,,
scarborough college lo,,
victoria park and crai,,
bloor and parliament,,
bathurst and greenwin,,
old finch and mornings,,
markham and sheppard,,
eglinton and bellamy,,
vaughan and pinewood,,
christie st and bloor,,
dufferin and rogers,,
university of toronto,43.6608141,-79.3960322
earl's court loop,,
brimley and steeles,,
jane and eglinton,,
dufferin and glencairn,,
eglinton and beachell,,
military trail and ell,,
finch and woodbine dow,,
eglinton sq and victor,,
sheppard ave e and mid,,
dufferin and college,,
keele and junction,,
manitoba and strachan,,
eglinton and brentclif,,
long branch loop,43.5918837,-79.5441348
malvern gate,43.7791665,-79.2753959
metro toronto zoo,43.8196233,-79.1844977
finch and brimley,,
wilson and allard,,
finch and bathurst,,
pine and church,,
warden and masseyfield,,
kipling and lakeshore,,
morningside and lawren,,
sheppard and warden,,
birchmount and ashtonb,,
steeles and carpenter,,
steeles and eastvale,,
york mills and bayview,,
martin grove and eglin,,
middlefield and steele,,
dufferin and eglinton,,
hopedale and o'connor,,
eglinton and avenue,43.6908888,-79.4715586
littles and sewells,,
bayview station,43.7667987,-79.3873787
dexter and leslie,,
keele between victory,,
dufferin and bloor,,
keele and victory,,
eglinton and municipal,,
steeles and kennedy,,
commercial and millwoo,,
coxwell and robbins,,
royal york and eglinto,,
eglinton and laceselle,,
middlefield and mcnico,,
bathurst and cedercrof,,
kingston and lawrence,,
danforth and parkette,,
southwood and glen ame,,
bannatyne and leslie,,
liberty and piraneello,,
liberty and pirandello,,
kingston and main,,
mcnicoll and morbank,,
steeles and kelvin gro,,
eglinton and redpath,,
jane and shoreham,,
finch and jane,43.7582028,-79.5202659
finch and don mills,,
signet and steeles,,
dufferin and queen,,
steeles and victoria p,,
sheppard and wilson he,,
pape and cosburn,,
don mills and overlea,,
royal york and castleb,,
lawrence anad caledoni,,
dufferin and st clair,,
jane and alliance,,
morningside and sewell,,
ian macdonald and the,,
600 bloor st e,43.673509,-79.3690306
jane and finch,43.7572632,-79.5176734
bloor and st george,,
oaskwood and eglinton,,
steeles and dumont,,
canada blvd and manito,,
bloor and clendenan,,
morningside and finch,,
bathurst and lawrence,,
yonge and moore park,43.6698112,-79.386585
dufferin and king,,
yonge and cummer,,
longbranch loop,,
eglinton and pharmacy,,
martin groove and redg,,
yonge and moore,43.6698112,-79.386585
carpenter and steeles,,
steeles and thurman,,
greenwin and bathurst,,
wilson and faywood,,
christie and davenport,,
islington and kingsvie,,
eastern and queen,,
anglessey and the king,,
warden and ellesmere,,
scarborough ctr statio,,
humberwood loop,43.7244925,-79.621304
overlea and thorncliff,,
cordova and dundas,,
meadowvale and kingsto,,
bloor and islington,,
grandravine and keele,,
carlaw and gerrard,,
jane and gordon,,
finch and middlefield,,
warden and finch,,
jane and driftwood,,
kennedy and radnor,,
dundas and chelsea,,
wilson and jane,,
finch and victoria par,,
keele and greenbrook d,,
greewin village and ba,,
kennedy and munham,,
concord ave and lane 2,,
sheppard and pharmacy,,
bloor and church,43.6718371,-79.3830437
yonge and otonabee (ne,,
sheppard and don mills,,
danforth and august,,
kingston rd an highlan,,
eglinton and jane,,
jane and dundas,,
martin grove and west,,
mccowan and ellesmere,,
cummer and bayview,,
brimley and lawrence,,
st claire station,,
finch and dufferin,,
lawrence and morningsi,,
