Location,lat,lon
scarborough loop and m,,
humber blvd and weston,,
victoria park and conr,,
kipling and the queens,,
martingrove and 401,,
major mackenzie and ri,,
sherbourne and north s,,
lambton and cashman,,
runnymede and dundas,,
parliament and wellesl,,
sheppard and ecopark,,
6 evans avenue,43.65374,-79.48424
weston and dee,,
don mills and st denni,,
victoria and sheppard,,
sheppard and leslie,,
lawrence and varna,,
kingston and highland,,
eglinton and fairleigh,,
old orchard and avenue,,
islington and anthia,,
davenport and darthell,,
383 sherbourne street,43.6639579,-79.3729655
humberwood bvld and mo,,
royal york and evans,,
wilson heights and she,,
bloor and ossington,,
weston and wilson,,
steeles and martingrov,,
scarborough golf club,43.7477879,-79.2100146
danforth and savarin,,
hotspur and bathurst,,
ellesmere and birkdale,,
eglinton west and gues,,
o'connor and bermondse,,
duncan shop,,
gerrard and st munro,,
mccowan and mcnicoll,,
atlantis and king,,
cummer and mccowan,,
trethewey and keele,,
kingston and ravine,,
corporate and lee cent,,
pharmacy and comstock,,
giltsper and magellan,,
kingston and nielson a,,
victoria park and lawr,,
lakeshore and parkside,,
dundas and dupont,,
thorncliff and overlea,,
mrtin grove and steele,,
albion and sanagan,,
royal york road and di,,
british columbia and a,,
dixon rd and royal yor,,
kingston rd and choice,,
midland and gilder,,
dundas and poplar,,
albion and elmhurst,,
danforth and elward,,
york mills station (au,,
bloor and keele,,
canada blvd loop ( man,,
queen and neville,,
427 highway and bloor,,
burnamthorpe and east,,
victoria park and sout,,
woodbine and merrill,,
royal york stn,43.6481008,-79.5112485
25 heavytree,,
strathmore and woodbin,,
duffrin and steeles,,
sheppard and grand riv,,
gerrard and greenwood,,
mccowan and commander,,
kipling and prince geo,,
ellesmere at markham r,,
redlea and steeles,,
willowdale and finch,,
caledonia and tycos,,
pharmacy and heathersi,,
evans and westmall,,
signal hill and steinw,,
vaughan and n of maple,,
steeles loop at bayvie,,
o'connor and coxwell,,
bloor and symington,,
birchmount and ranston,,
cummer and beardmore,,
birchmount and 14th,,
york mills and dvp,,
markham and tuxedo,,
dupont and holland,,
runnymede and mornings,,
berry and cloverhill,,
st clair and elfreda,,
sheppard and water tow,,
sheppard and glen watf,,
finch and doris,,
steeles and maxome ave,,
yonge and ivor,,
lawrence and blaine,,
shaw and adelaide,,
york mills and york ri,,
pharmacy and donside,,
eglinton and hilltop,,
marham and steeles,,
lambton and guestville,,
mabelle and #57,,
gulliver and keele,,
steeles and dart,,
maclennan and summerhi,,
st dennis and deauvill,,
sheppard and reidmount,,
queensway and south ki,,
mccowan and bridlegrov,,
bridle path and lawren,,
lundy and dundas,,
bathurst and lytton,,
riverdale and pape,,
ellesmere and orton pa,,
lakeshore division,,
keele and calvington,,
midland and finch corr,,
bathurst and old fores,,
finch and tangiers,,
briar hill and bathurs,,
wilson and walsh,,
bathurst and glencairn,,
jesmond and robina,,
sheppard and john drur,,
american and airport,,
don mills and cliffwoo,,
wilson and eastbourne,,
parkside and queensway,,
gerrard and st matthew,,
albion and thistle dow,,
eglinton and falcon,,
steeles and vallonclif,,
kipling steeles loop,,
west mall and queenswa,,
thistledown and dashwo,,
main and doncaster,,
colonel samuel smith,43.5932397,-79.5162126
ellesmere and gander (,,
hwy 401 and jane,,
steeles loop (steeles,43.7641496,-79.5763702
renforth and eglinton,,
sheppard and baymills,,
finch statioin,,
airport and beverly,,
lawrence and canlish,,
dyanmic and mcnicoll,,
winerva and queen,,
kiping station,,
kenendy and lawrence,,
brimley and shediac,,
sheppard warehouse,,
midland and romulus dr,,
yonge and craighurst,,
jarvius and queens qua,,
queen and coxwell,,
islington and orrell,,
hwy 7 and warden,,
upper highland and yor,,
renforth and station,,
caledonia and glencair,,
yonge and drewery,,
victoria park and gerr,,
st. george station,43.6686549,-79.398109
woodbine beach loop,43.6633847,-79.3090705
yonge blvd and yonge s,,
lawrence and greencres,,
ossington and dewson,,
u of t scarborough,43.7851882,-79.1893305
huntingwood and kilken,,
glencairn and dufferin,,
kenside and roywood,,
dundas and shorncliffe,,
woodbine and danforth,,
driftwood and driftwoo,,
tretheway and jane,,
weston and little,,
avenue and woburn,,
airport and jetliner,,
arleta and john lindsa,,
finch and tobemory,,
cowell and lower gerra,,
dufferin and hope,,
st clair and mould ave,,
lawrence and aveune,,
upper canada dr and lo,,
yonge and bishop,,
eglinton and black cre,,
york mills and sandfie,,
north queen and queens,,
wellesley and church,43.6662566,-79.3787956
queens plate and rexda,,
allen and rimrock,,
hupfield and overlord,,
eglinton and emmett,,
bay and wellington,,
warden and mcnicoll,,
danforeth and wolfe av,,
martin grove and dixon,,
sewells and hupfield,,
steeles west and kipli,,
wilson and haymarket,,
3 concord place,43.7676015,-79.3722824
morninside and passmor,,
sloane and eglinton,,
bay and harbord,,
mcnicoll and silver st,,
chesswood and steeproc,,
wilson and highview,,
wellington and yonge,,
gerrad and parliament,,
northover and sheppard,,
finch and midland,,
liberty and stratchan,,
bishop and yonge,,
bathurst and drewry,,
lansdowne station,43.6593524,-79.4431918
greenwin and bison,,
lakeshore and seventh,,
wilson garage - servic,,
dundas and indian road,,
chaplin and eglinton,,
evans and royal york,,
burnhamthore and mill,,
eglinton and trethewey,,
jane and harding,,
30 falstaff,43.7164605,-79.5052117
faywood and clanton pa,,
industry and ray ave,,
avenue and lowther,,
oakwood and eglinton,,
eglington and warden,,
lawrence and mossbank,,
huntingwood and garryb,,
ellemere and birkdale,,
albion and byng,,
rexdale and humberwood,,
wilson and murray,,
sheppard ave w and kee,,
long branch loop (3830,43.5918837,-79.5441348
gibson av and speers a,,
christie and st clair,,
victoria park and bing,,
dufferin n of queen,,
edna and dundas st,,
bathurst and fairlawn,,
giltspur dr and purcha,,
eglinton and ionview,,
north service road,43.7333347,-79.2645041
keele and maple leaf,,
finch and au large,,
huntingwood and comman,,
east and tudor,,
islington and duncanwo,,
eglinton and the east,,
carrier dr and highway,,
humberwood blvd and mo,,
birchmmount garage,,
wilson and dallner,,
yonge and connaught,,
bathurst and college,,
green village gate and,,
sheppard and brownspri,,
morningside and tefft,,
davisville and forman,,
don mills and sheppard,,
st clair and santamoni,,
lower jarvis and espla,,
commisioners and sault,,
sheppard and allanford,,
lawrence and corona,,
symington and dupont,,
park and kirkham,,
queen and east mall,,
finch and romfield,,
burnhamthorpe and old,,
slingshot,,
mt pleasant and eglint,,
kingston and ellesmere,,
finch and blackbird ga,,
danforth rd and trudel,,
ellesmere and mornings,,
alliance and dalrymapl,,
20 lakeshore blvd,,
wynford and don mills,43.7253289,-79.3334935
3955 keele street,43.7649362,-79.4910698
avenue and bloor,,
thirteenth and lakesho,,
dundas and acorn,,
st albans and kipling,,
sheppard and setttlers,,
ossington and northumb,,
lawrence and glenmount,,
marlee and ridelle,,
king and jordan,,
king and spencer,,
steeles and fenton,,
malvern garage.,,
mcnicoll and dynamic,,
park lawn and legion,,
guildwood pkwy and liv,,
dufferin and mcadam,,
kipling and the westwa,,
king and parliament,,
victoria park and bisc,,
steeles and tarbert,,
neilson and milner,,
davisville and mount p,,
bathurst and rockford,,
pharmacy and leahurst,,
sheppard/ yonge statio,,
york mills and fencesi,,
jane st and colbeck st,,
bathurst staition,,
triton and borough dr,,
bathurst and drewy,,
steeles and henderson,,
concorde and mcdonald',,
kingston and manse,,
eglinton and nairn,,
wilson and northgate,,
pharmacy and dawes,,
finch and humber colle,,
75 eastdale ave,43.695127,-79.3002729
danforth and warden (w,,
woodbine race track,43.7159338,-79.6036641
york mills and highlan,,
st clair and caledonia,,
eglinton and brenctlif,,
milner and markham,,
allen and sheppard,,
davean and dunlace,,
progress and brimley,,
kipling and bloor,,
fenelon and graydon,,
vaughn and bathurst,,
signal hill and kiplin,,
atkinson and spring ga,,
markland and bloor,,
islington and deerfoot,,
grenoble and gateway,,
nelson and sewells,,
barrington and secord,,
yonge and brooke,,
kennedy and cornwallis,,
millwood bridge,,
humberwood blvd,43.7335104,-79.6185586
finch and pineway,,
cordella and louvin,,
sewells and brenyon wa,,
oakdale and finch,,
steeles ave w and murr,,
bathurst and caribou,,
symington and bloor,,
rexdale and islington,,
warden and 16th ave,,
sheppard yonge bus pla,,
lesmill and leslie,,
yonge and madawaska,,
yonge and newton dr,,
lawrence and brucewood,,
orton park and lawrenc,,
yonge and queen;s quay,,
kingston rd and celest,,
eglinton and cedar,,
islington and titan,,
danforth and north woo,,
warden loop at steeles,,
warden and castille,,
neilson and neilson pa,,
eglinton stn 1106 am,43.7045789,-79.3984763
dundas and cordova,,
weston and humber,,
dundas street west,43.6501141,-79.4389513
bridgman and dartnell,,
victoria park and yard,,
victoria park and mead,,
ansford and faywood,,
bathurst and southborn,,
victoria park and st.,,
st clair and bathurst,,
warden and palmdale,,
shorncliffe and dundas,,
concord place and conc,,
king and gwynne,,
finch and tobermory,,
davenport and laughton,,
kipling and bethridge,,
dundas and humberside,,
browns line and lake s,,
red lea loop,,
bathurst and joicey,,
warden and lupin,,
chisholm and lumsden,,
sheppard and chesswood,,
king and jameson,,
liberty and strachan,43.6416751,-79.4116348
markham and parkway av,,
meadowvale s of sheppa,,
dixon rd and islington,,
dundas w and scarlett,,
bay and front (bus is,,
steeles and strawberry,,
eglinton ave w in fron,,
the pond rd and shoreh,,
ian macdonald and vani,,
steeles and settler,,
mccowan and steeles -,,
finch stn,43.7827711,-79.4147726
the east mall and lynn,,
don mills and freshmea,,
jane and shoreham dr,,
wynford and gervais,,
broadview and queen,,
forthbridge and calvin,,
islington and athol,,
kipling and john garla,,
john garland and kipli,,
steeles nad futurity,,
morningview and little,,
west humber and martin,,
eglinton and islignton,,
bathurst and bridgman,,
finch and silverstone,,
bloor and runnymede,,
mccowan and meldazy,,
finch and jayzel,,
kipling and westhumber,,
bathurst and coldstrea,,
parklawn and queens wa,,
dufferin and ranee,,
kipling and wingrove,,
king and dowling,,
mccawon and sandhurst,,
sentinel and stilecrof,,
finch and senlac rd,,
mcnicoll and brimley,,
meadowvale loop and sh,,
20 industry rd,,
eglinton station bus p,,
trail and sewells,,
1414 eglinton ave w,43.6982817,-79.4388411
rathburn and kipling,,
spadina and queen,43.6456165,-79.4109976
howard moscoe wy,43.7777131,-79.5087588
sunnybrook hospital (w,43.7227482,-79.3755416
northwest gate and ste,,
prince's blvd and prin,,
yonge and gerrard,,
davenport and walmer,,
faywood and faith,,
pioneeer village stati,,
college and spadina,,
royal york and trehorn,,
st dennis and wynford,,
ossington - baden to h,,
don mills statiion,,
avenue and eglinton,43.6908888,-79.4715586
bathurst and danby,,
jones and danforth,,
morningside and mclevi,,
overlea and leaside,,
bathust and drewry,,
islington and van duse,,
jane and eddystone,,
st.clair station,43.6878864,-79.3928933
martin grove and royal,,
queen and roncesvalles,,
warden and major macke,,
king and dufferin,,
evan's and brown's lin,,
jane street and colbec,,
jane and colbeck,,
bathurst and london,,
sheppard and northover,,
kingston rd and highla,,
sheppard and goddard,,
sheppard and laura,,
36 north queen steet,,
brimorton and mid pine,,
brimorton and orton pa,,
finch west and martin,,
guildwood parkway and,,
drwery and chelmsford,,
spadina and st.clair,,
thistle down and barkw,,
dufferin and anthony,,
sheppard and ambrose,,
sheppard east and mass,,
don mills station - 25,,
ellesmere and nielson,,
lawence and ralph,,
coxwell and o'connor,,
kingston and eastwood,,
st clair and spadina,,
yokr mills and don mil,,
kingston and brinloor,,
royal york queensway,43.6185674,-79.4994924
st clair and warden,,
pharmacy and dewey,,
catcle frank station,,
birchmount and st. cla,,
bathurst and marquette,,
sherboune and richmond,,
evans and gair dr,,
kennedy and ranstone,,
york mills rd and old,,
kenwood and vaughan,,
nugget and dovedale,,
kingston and eglinton,,
hwy 27 and steeles,,
morningside and john s,,
evans and sherway gate,,
scarlett and richview,,
cennital college loop,,
finch and adirondack,,
airport and ridon,,
mcnicoll middlefield,43.8199292,-79.2618769
east mall and burnhamt,,
o`connor and curity,,
dundas and humber hill,,
victoria park and dent,,
islington and thorold,,
islington and summitcr,,
brimley and mcnicoll,,
pape and hopedale west,,
sheppard and havenview,,
don miils station,,
dundas west and prince,,
sheppard and washburn,,
roselawn and bathurst,,
baldoon and finch,,
finch ave and milvan d,,
steeles and yonge (ste,,
finch and longmore,,
kipling loop at steele,,
birchmount and bertran,,
york university statio,,
jane and york gate,43.7582028,-79.5202659
shoreham and jane,,
finch and brimely,,
sheppard and abraham w,,
jesmond and oakwood,,
kennedy and stratton,,
st clair and winona,,
brimely and pitfield,,
victoria park and dean,,
mount pleasant and egl,,
lawrence and charlotte,,
pape and hopedale,,
bathurst and covington,,
eglinton and tretheway,,
nightstar and mornings,,
sunny side loop,,
132 hupfield trail,43.8144382,-79.2193569
underhill and roanoke,,
bathurst and neptune,,
bathurst and yorkview,,
warden loop and steele,,
victoria park to don m,43.8032333,-79.3371869
lawrence and de marco,,
sheppard east and birc,,
eastmall and burnhamth,,
lawrence and carlingvi,,
june station,,
the queensway and the,,
parkwoods and comberme,,
progress and kennedy,,
shorncliffe and newbri,,
donway and lawrence,,
walsh and kelvin,,
lawrence and st edmund,,
328 brunswick ave,43.66682,-79.40811
bloor and shaver,,
queen quay and bay,,
danforth rd and danfor,,
eglinton west,43.6992438,-79.4361076
crow trail and baldoon,,
yonge and balliol,,
lawrence and woodcliff,,
greenwood carhouse,,
yonge and lytton,,
black creek and lawren,,
scarlett and alma,,
midland and millbridge,,
hillcrest - plant main,,
berry and park lawn,,
195 nantucket blvd,43.75861,-79.27428
eglinton and dvp,,
finch and duncanwoods,,
warden and hymus,,
mill and cherry,,
near 720 midland,,
birchmount and kingsto,,
wellesworth and eringa,,
spanbridge and grenobl,,
warden and canadian rd,,
micheal power st josep,,
dundas st w and gilmou,,
shebourne and queens q,,
old finch and littles,,
the queensway and cawt,,
eglinton and falmount,,
raab and hospital rd,,
royal york and summitc,,
albion and finch,,
dockside and queensqua,,
starspray loop,43.7886393,-79.1230988
queen and curzon,,
mount dennis,43.6879318,-79.4861859
dufferin and yorkdale,,
sheppard and provost,,
eglinton statoin,,
cosburn and donlands,,
leslie and esther shin,,
bermondsey and bartley,,
kipling and finch,,
terminal 1,43.6444057,-79.3775876
pharmacy and rannock,,
finch and york gate,43.7582028,-79.5202659
old weston and turnber,,
highway 407 station,,
don mills and graydon,,
dubray and wilson,,
highview and birchmoun,,
main and kingston,,
st clair and weston,,
bathurst and woburn,,
kennedy stawtion,,
victoria park and o co,,
morning stat and cambr,,
angus glen community c,,
wilson and transit,,
pharmacy and denton,,
william allen and rimr,,
rexdale and precision,,
bathurst and tichester,,
broadview and fernwood,,
danforth and carslake,,
bathurst and cedarcrof,,
lawrence and ellington,,
ellesmere and calverle,,
east mall and keane,,
bathurst and ellerslie,,
vaughan and atlas,,
st. clair and mould,,
queensway and loma,,
west mall and sherway,,
burnhamthorpe and botf,,
wellesley and ontario,43.6611091,-79.3847945
tapscott and melford,,
kingston rd and victor,,
meadowvale loop- shepp,,
islington and 401,43.6475606,-79.5295131
kipling and steels,,
esplanade and church,,
kennedy and perthshire,,
faywood and ansford,,
lansdowne and n of sea,,
wilson and murry rd,,
carlaw and dickens,,
woodbine loop,43.6680314,-79.311484
sheppard and bartor,,
st clair and arlington,,
canada and manitoba,,
nelison and keeler,,
victoria park and jone,,
ossington and shaw,,
sewells and mclevin,,
esna park and steeles,,
dufferin and sparrow,,
davernport and laughto,,
ossington and dupont,,
kingston road and mans,,
bathurst and strathear,,
danforth and st clair,,
steeles and mccowan (b,,
tycos dr and caledoina,,
dufern and college,,
weston rd and eglinton,,
eglinton and tarlton (,,
old finch and morningv,,
dundas w and poplar av,,
bathurst and barton (n,,
doncaster and main st,,
spanbridge rd and gren,,
bloor and concord,,
jane and yorkwood gate,,
"leaside bridge, millwo",,
yonge and esplanade,,
airport rd and derry r,,
295 the east mall - a,,
eglinton ave w and gab,,
weston and mccormack,,
brimley and dallyn cre,,
antibes and plum tree,,
browns line and coules,,
old weston rd and rock,,
faywood and sheppard,,
old west road and st.c,,
wilson and collinson (,,
st clair and north woo,,
hwy 27 and queens plat,,
king and queensway,,
thistledown and albion,,
markham and cougar cou,,
parliament and oak,,
harbord and major,,
patten building,,
avon loop/ rogers rd,,
pioneer village sation,,
wilson yard,43.740387,-79.4572062
yonge and scollard,,
danforth and and donla,,
steeles loop (yonge),,
yonge and finch,,
kingston and glen mano,,
gary dr and dalbeattie,,
albion and humberline,,
sunnybrook hospital ma,,
shoreham and shoreham,,
victoria park and mcni,,
finch and wilred,,
bloor and markland,,
kipling loop,43.5990103,-79.5175762
o connor and sandra rd,,
jane station green p p,,
bathurst and drewery,,
martin grove and rexda,,
kennedy and brigstock,,
donlands and cosburn,,
eglinton and gervais,,
bathurst and prince ch,,
kennedy and bertrand a,,
meadowvale rd and shep,,
royalyork station,,
44 valleywood road,,
grandravine and arleta,,
wyford and don mills,,
renforth and silver da,,
marlee and lawrence,43.7058309,-79.4421105
carlingview and renfor,,
mt dennis gararge,,
lawrence and keele,,
west mall and holiday,,
keele and humberside,,
sloan and sweeney,,
alton towers n and mcc,,
huddersfield and humbe,,
kingston and dixon,,
yonge and kempford,,
weston and dennis,43.7015186,-79.5217548
warden and steeles (no,,
baecrest ave and the w,,
castle frank,43.673509,-79.3690306
lawrence ave and under,,
finch station - bus ba,,
cosburn and greenwood,,
brimley and kingston,,
st clair and gunns,,
sherbourne adelaide,,
bay and lakeshore,,
weston rd and walsh,,
marlee and roselawn,,
hymber college south o,,
willowdale and steeles,,
birchmount and silver,,
lord seaton and yorkmi,,
warden and tower,,
thorncliffe park drive,43.7047525,-79.3418564
humber college bouleva,,
bathurst and rosemary,,
symington and davenpor,,
mill street and cherry,,
milner and neilson,,
founders and steeles,,
yonge and mill st,,
victoria park and jane,,
kennedy and ellesemere,,
lawson and centennial,,
dunds west station,,
bellamy and northleigh,,
markham and hwy 7,,
landsdowne and seafort,,
eglington station,,
queen and shaw,43.6442129,-79.4161958
victoria park and clin,,
liberty and fraser,,
duncan and queen,,
king station,43.6489494,-79.3777538
woodbine casino - 555,43.7150801,-79.6040694
john garland and finch,,
finch ave e and willow,,
bathurst and donlake g,,
dundas and wilmar,,
sentinel and finch,,
lawrence and fortune g,,
st. clair station,43.6878791,-79.3930329
curlingview and intern,,
finch ave west and wes,,
st clair and raglan,,
brimley and 401 (north,,
coxwell and barker,,
lower level wilson sta,,
caledonia and rogers,,
ellesmere and birchmou,,
dundas and shaver,,
finch and virgilwood,,
victoria park and cons,,
finch and duncanwood d,,
mccowan and alton,,
neil mcneil high schoo,,
victoria park and cass,,
ossington and rebecca,,
laird and stickney,,
rosebank and progress,,
evans and gair,,
126 christie diversion,,
mcnicoll and pineway,,
brenyon way and john t,,
scarobrough town centr,,
weston and sunset,,
queensway and atomic,,
danforth and midland,,
eglinton ave and winon,,
signet and garyray dr,,
pioneer village stn,43.7768683,-79.5089653
york university,43.7743325,-79.5002705
pioneer village statn,,
birchmount and mcnab,,
signet and garyray,,
bathurst and kenton rd,,
kingston and sandown,,
2314 kingston road,43.7062815,-79.2517759
liberty and mowat,,
littles and birrell,,
vaughn and oakwood,,
eglinton and vesta,,
martin grove and garfe,,
wellsley and church,43.6659177,-79.3787795
sheppard and bales,,
highway 427 ramp at pe,,
st clair and humewood,,
atkinson and clark,,
finch and finchdean,,
the westway and martin,,
milner and progress,,
bathurst and dewbourne,,
cummer and maxhome,,
unversity of toronto b,,
glen and elm,,
victoria park loop,,
coxwell and glebeholme,,
keele and bloor (north,,
finchdene dr and finch,,
prince's gate loop,,
danforth ande victoria,,
signet drive and high,,
major mackenzie and wa,,
windermere and queensw,,
cutiry and hollinger,,
symington and paton rd,,
royal york and ashley,,
st clair and poplar pl,,
bathurst and invermay,,
warden and freeman,,
glencairn and caledoni,,
550 petrolia rd,43.7734267,-79.4900446
mclevin and hupfield,,
midland and prudential,,
museum station,43.6668462,-79.3933506
nightstar and pogonia,,
king and queen,43.6558418,-79.3639126
comstock and faulkland,,
queen's park and bloor,43.668164,-79.3937619
mclevin and morningsid,,
warden and ncnicoll,,
morningside and danzig,,
bloor and tremont,,
brimley and bennett,,
49thorncliffe park,,
bathurst and brent hal,,
yorkdale and go tremin,,
eglinton and rostrevor,,
930 eglinton west,43.70056,-79.42834
islington and anglesey,,
yonge and soudan,,
300 new toronto st,43.6044997,-79.5191334
sheppard yonge,43.7614518,-79.4109148
weston and maple bush,,
mount pleasant and st,,
jane and stanley,,
lambton and beechwood,,
wilson and yonge blvd,,
tapscott and blackwell,,
steeles and alness,,
westmore and finch,,
east york acres parkin,,
wilson and ridge road,,
castlemore and mingay,,
jane and firgrove (nor,,
humberwood and rexdale,,
60 sparrow avenue (duf,,
royal york and the wes,,
jane and trethwey,,
bathurst and verwood,,
village gate and steel,,
kennedy and cardwell,,
parliament and shuter,,
kipling and birmingham,,
park hill and eglinton,,
donlands and danforth,,
dupont and manning,,
weston and gunns,,
finch and sandhurst,,
lakeshore and winderme,,
bloor and shaw,,
weston and porter,,
allan rd and sheppard,,
west mall and dundas,,
sewells and littles,,
west mall and rathburn,,
overlea blvd and willi,,
bayview loop,,
mccowan and consilium,,
transway crescent - ke,43.7315186,-79.2643032
shorncliffe and north,,
markham and markanna,,
warden and arkona,,
steeles and vaughan,43.7566739,-79.6077571
graydon hall and york,,
kennedy and lawerence,,
yonge s of cummer,,
avenue rd and lawrence,,
oak and weston,,
ellesmere and packard,,
lawrewnce and culford,,
bloor and riverview,,
keele and downsview,,
steeles west of weston,43.7701206,-79.5462802
fenmar and ormont,,
pionner village,,
wilson and billy bisho,,
wintermute and mountca,,
passmore and morningsi,,
bay and dundas,,
lawrence and bircmount,,
steeles and shadlock (,,
arrow and sheppard,,
markham and painted po,,
lawrence and blackston,,
don mills and finch,,
clayson and huxley,,
wilson and jethro,,
eglinton and martingro,,
the pond and canarctic,,
sewells and morningvie,,
king and lower river,,
humber colelge bus ter,,
pionneer village stati,,
lawrence and gooderham,,
kennedy and landseer r,,
steeles and murray ros,,
31 underhill drive,43.7434932,-79.3257624
dundas and the west ma,,
denton and st dunstan,,
steeles and passmore,,
leslie and 401,,
bathrust station,,
royal york and glendar,,
midland and passmore,,
macdonell and queen,,
yonge and fairlawn ave,,
yonge and steeles (ste,,
sheppard and rouge hil,,
military trail and bob,,
scarborough town stati,,
weston rd and bradstoc,,
sutherland and hannas,,
wardern station,,
black creek dr and law,,
finch and wimmington a,,
atkinson and rodeo,,
finch and martin grove,,
broadview and pretoria,,
redlea loop,,
albion and wilson,,
pearson airport,,
lawrence and tower,,
warden and ashtonbee,,
sheppard east of bathu,,
steeles and milliken,,
manse and lawrence,,
mccowan and sandhurst,,
hullmar and bamford,,
keele and rogers,,
maybrook and passmore,,
faywood and asnford,,
danforth and linnsmore,,
sherbourne and wellsle,,
finch and miliken,,
dundas and islington,,
alness and steeles,,
highway 427 and bloor,,
bathurst and briar hil,,
wardena and ashtonbee,,
finch and finchdene sq,,
ossington and argyle,,
dvp and wynford,,
millner and markham,,
wynford and dvp,,
dawes and donora,,
corporate dr and progr,,
wilson and agate,,
warden and boem,,
lawrence and burnview,,
bradstock and rivalda,,
bay and gerrard,43.6581662,-79.3855324
dixon and st phillips,,
greenwin village,43.7916068,-79.4445088
burnhamthorpe and mead,,
finch and alexdon,,
lower sherbourne and q,,
attwell drive between,,
queen's quay and small,,
ellesmere and helicon,,
commissioners and bouc,,
prospector's and major,,
sheppard west and east,,
markham and ironstone,,
tapscott and passmore,,
keele and wycombe,,
sheppard and brenyon w,,
sherbourne and shuter,,
dundas and auckland,,
opposite 366 and the e,,
gentian and welleswort,,
birchmount and briar h,,
queen and don valley,,
yonge and broadway,,
bloor and spadina,,
hwy 400 and hwy 401,43.6534817,-79.3839347
steeles and silver sta,,
progress and schick,,
dovercourt and northhu,,
st clair and kennedy,,
driftwood and jane,43.7580635,-79.5133814
mortimer and dunkirk,,
bouchette and lake sho,,
wineva and willamson,,
jack layton way and bl,,
st clair and mount ple,,
ellesmere and borough,,
bay and st joseph,,
st matthews and gerrar,,
promenade terminal,,
atkinson and dundurn,,
commissioner and lesli,,
sheppard and bridlewoo,,
eglinton and rosemount,,
yonge and empress,,
markham and pandora,,
steeles and ferrier,,
grenoble and leeward g,,
warden and roper,,
bathrust and timberlan,,
humberline and humber,43.734318,-79.6126151
penworth and crosland,,
sentinel and lamberton,,
laurentide and silverd,,
finch and john garland,,
markham and greenbrae,,
sheppard and parkway,,
dufferin and gordeon,,
thorncliff park and ov,,
markham and ionstone,,
sheppard and commons d,,
parklawn and lakeshore,,
royal york,43.6481827,-79.5112961
birchmount and carncas,,
bloor and highpark,,
bloor and christie,43.66376,-79.4180133
eglinton and cardcliff,,
lake shore and cherry,,
steeles and yonge (eas,,
wilson and clayton,,
william morgan and ove,,
upper highland and tou,,
pearson airport- termi,,
sheppard w and abraha,,
midland and redlea,,
pape and cosburn (east,,
kingston rd east of v,43.6744523,-79.3073486
bellemy and progress,,
settler and steeles (e,,
wellesly station,,
dockside and queen's q,,
woodbine and laurentid,,
downview park and carl,,
sheppard and yatescast,,
lawrence and good shep,,
eglinton and glenhome,,
martin grove and belfi,,
pritchard and jane,,
victoria park and suth,,
queen and university,43.6573501,-79.383365
kipling and burnhamtho,,
islington and burnamth,,
uphill and woodward,,
yonge and fairlawn,,
albion and benstrow,,
bloor and kipling,,
bathurst and baycrest,,
cactus and green bush,,
the west mall and rath,,
jones and queen,,
bayview and sheppard,,
st clair station - on,43.6879512,-79.3936947
lansdowne and lappin -,,
bay and queen,,
cne loop,,
springhurt loop,,
steeles loop west (mar,,
sleeles and yonge,,
steeles and yonge - lo,,
kingston rd (east of s,43.6744523,-79.3073486
king and york,43.6420888,-79.4114107
moore and brenden,,
markham and leslie,,
mill and trinity,,
earlscourt and st. cla,,
dufferin and millicent,,
drewry and bathurst,,
lawrence and marcos,,
wilson and juilian,,
kipling and tyre,,
willowdale and sheppar,,
brimorton and orton,,
emit and verona,,
danforth and sibley,,
victoria park and pawn,,
weston and coulter,,
parliament and richmon,,
warden and bertrand,,
dundas and subway cres,,
keele and yore,,
bathurst and alcina,,
eglinton and ranee,,
queen's quay and lower,,
dixon and golfwood hei,,
wilson and garratt,,
yonge and johnston,,
caledonia and raitherm,,
eglinton west stn,43.7011027,-79.4257218
leslie and queen,,
lakeshore and long bra,,
elmhurst and genthorn,,
danforth ave and warde,,
kennedy & passmore,43.8187759,-79.3036561
allen and transit,,
bloor and south kingsw,,
sentinel and derrydown,,
dundas and michael pow,,
jane and william craig,,
sheppard and malvern g,,
ellesmere and bellamy,,
dufferin and apex,,
near-lawrence west sta,,
broadview and cosburn,,
eglington and gilbert,,
barmac and garyray,,
sewells road and fawce,,
access hubs - various,,
st clair and brimley,,
queen and lower jarvis,,
kingston and woodbine,,
russell div,,
bathurst stn,43.6664159,-79.4113092
carpenter and bathurst,,
yonge and eslanade,,
victoria park and wins,,
mccowan and elson (nor,,
pioneer villagestation,,
bathurst and hotspur r,,
36 north queen,43.62495,-79.5344
2700 st clair ave w,43.66648,-79.49817
steeles and shale gate,,
eglinton and don avon,,
84 d,43.6534817,-79.3839347
commissioners and loga,,
victoria park and arnc,,
ash bridge bay loop,,
pearson airport t 3,,
emmett and jane,,
the esplanade and fred,,
esplanade and lower ja,,
danforth rd and midlan,,
lumsden and main,,
lawrence and culford r,,
roncesvalles car house,,
st clair ave and chri,,
humberline and woodlot,,
overlea blvd and don m,,
driftwood and topcliff,,
parliament and wellese,,
kennedy go station,43.733246,-79.2625089
york mills and scarsda,,
eglinton and lebovic a,,
jane and romanoway,43.7584555,-79.5152999
victoria park and farm,,
mcnicoll yard,,
parliament and winches,,
bay and charles,,
kennedy and merrian,,
jane and haney,,
shepppard and e of nei,,
bellfield and martingr,,
warden and st. clair e,,
grangeway and bellamy,,
harbord and grace,,
runnymede and glenwood,,
jane and dundas west,,
