location,location_id
GATEFORTH AND SHEPPARD,194
EGLINTON AND MARKHAM,195
MCNICOLL AND TAPSCOTT,196
MORNINGSIDE AND NIGHTS,197
BRADSTOCK AND WESTON,198
DON MILLS AND FINCH STATION,199
MORNINGSIDE AND PASSMO,200
MCCOWAN STATION AND SHEPPARD,201
MURRAY AND WILSON,202
FINCH AND KENNEDY STATION,203
PHARMACY AND PRINCEWAY,204
HENRIETT AND RUNNYMEDE,205
SURR AND VICTORIA PARK,206
LAWRENCE AND WESTON,207
HEDGEWOOD,208
BAYVIEW AND STEELES,209
AIRPORT AND ALBION,210
MURRAY ROSS AND S,211
BATHURST AND FINCH STATION,212
BAY AND FRONT,213
ROGERS AND WESTON,214
CROW TRAIL AND NEILSON,215
EGLINTON AND YONGE,216
PRINCESS GATE,217
FINCH AND YONGE,218
AUKLAND AND DUNDAS STATION,219
BATHURST AND LAWRENCE STATION,220
STEELES LOOP,221
QUEEN STATION QUAY AND YONGE,222
MEADOWVALE LOOP,223
STEELES AND WARDEN STATION LOOP,224
OVERLEA AND THORNCLIFFE,225
WILSON STATION GARAGE,226
DON MILLS STATION,227
MORNINGSIDE AND STAINE,228
BARMAC AND ORMONT,229
BATHURST STATION AND FINCH,230
RIDLEY AND WILSON,231
PAPE STATION,232
DOLLY VA AND ELLESMERE,233
EVANS AND ISLINGTON STATION,234
ON RAMP AND TERMINAL 3,235
BLOOR AND SHERBOURNE,236
MORNINGSIDE AND SHEPPARD,237
MARKHAM AND PROGRESS,238
MILL LOOP,239
DEAUVILL AND ST DENNIS,240
BLOOR AND MILL,241
BANNATYNE AND RIDERWOO,242
NEILSON AND SEWELLS,243
FAYWOOD AND SHEPPARD,244
SHEP AND VICTORIA PARK,245
LAWRENCE AND SCARLETT,246
MARKHAM AND NUGGET,247
KEELE STATION AND WILSON,248
TAPSCOTT AND WASHBURN,249
BRIAN AND VAN HORNE,250
LAWRENCE AND SHERMOUNT,251
ELLESMERE AND MCCOWAN STATION,252
SCARBOROUGH CENTRE,253
GRANGEWAY AND PROGRESS,254
ELLESMERE AND KENNEDY STATION,255
