stop_id,stop_name,stop_lat,stop_lon
268,Ellesmere Rd at Military Trail (East),43.78669,-79.188167
269,Humberline Dr at Huddersfield Rd,43.743504,-79.62084
270,Birchmount Rd at Danforth Ave,43.696844,-79.263822
271,Lansdowne Ave at Lappin Ave,43.665163,-79.445918
275,Ossington Ave at Leeds St South Side,43.663872,-79.426518
276,Neilson Rd at Sheppard Ave East,43.798278,-79.217892
278,Lawrence Ave West at Roxaline St,43.696704,-79.529765
280,Brown's Line at Horner Ave,43.601827,-79.54543
281,375 Norfinch Dr,43.770165,-79.531686
283,Beechgrove Dr at Dunstall Cres,43.772505,-79.160886
285,Weston Rd at Toryork Dr,43.753493,-79.542887
288,Coronation Dr at Manse Rd,43.76452,-79.173148
289,Albion Rd at Carrier Dr,43.74558,-79.61401
292,Lawrence Ave East at Morningside Ave,43.76821,-79.186546
294,Humber College Blvd at Humberline Dr,43.732115,-79.60889
295,Airport Rd at Northwest Dr,43.698901,-79.635642
298,715 Finch Ave West,43.769727,-79.462373
302,Kingston Rd at Sandown Ave,43.70858,-79.249674
303,Commissioners St at Logan Ave,43.651835,-79.337506
304,Victoria Park Ave at Meadowacres Dr,43.771798,-79.321251
305,Don Mills Rd at Deerford Rd,43.785281,-79.35057
306,Lawrence Ave East at Markham Rd,43.759631,-79.225553
309,Thirtieth St at Elder Ave,43.597919,-79.530991
313,Bathurst St at Bainbridge Ave,43.75091,-79.437474
316,Carrier Dr at Dansk Crt South Side,43.743515,-79.61471
317,Finch Ave West at Wilmington Ave,43.770363,-79.46065
318,Kennedy Rd at Brigstock Rd,43.761387,-79.279261
320,Morningside Ave at Morningview Trail,43.813343,-79.206063
321,123 Wynford Dr,43.726923,-79.329142
323,Finch Ave East at Kenneth Ave,43.780577,-79.412214
326,Bayview Ave at Opposite Garnier Park,43.800927,-79.395689
327,Dundas St West at Nottingham Dr,43.655267,-79.522723
328,6807 Steeles Ave West,43.756036,-79.611033
330,Old Weston Rd at Turnberry Ave,43.67825,-79.46463
333,Kennedy Rd at Cowdray Crt,43.780431,-79.286698
334,Finch Ave West at Yonge St West Side,43.779728,-79.416164
336,Sheppard Ave West at Maxwell St,43.754151,-79.445628
337,McCowan Rd at Alton Towers Cir (North),43.82702,-79.276064
341,Lawrence Ave East at Warden Ave,43.745187,-79.295013
342,Humberline Dr at Viewcrest Cir,43.732276,-79.617211
345,2002-2012 Sheppard Ave West,43.738711,-79.516709
346,Finch Ave West at Highway 27,43.73388,-79.603867
347,Kipling Ave at Tyre Ave,43.64501,-79.536573
