route,location_id
7,7
7,12
7,16
7,20
7,21
7,43
7,44
7,46
7,49
7,53
7,66
7,67
7,75
7,78
7,86
7,101
7,102
7,128
7,137
7,138
7,141
7,142
7,149
7,158
7,161
7,188
7,212
7,213
7,216
7,220
7,221
7,222
7,226
7,227
7,230
7,258
7,285
7,286
7,287
7,290
7,292
7,302
7,303
7,321
7,336
7,344
7,347
7,350
7,368
7,370
7,375
7,379
7,385
7,389
7,404
7,411
7,443
7,476
7,493
7,530
7,536
7,551
7,626
7,628
7,644
7,656
7,667
7,675
7,689
7,693
7,703
7,704
7,731
7,773
7,774
7,776
7,806
7,828
7,864
7,872
7,890
7,908
7,913
7,918
7,938
7,942
7,957
7,985
7,995
7,996
7,1028
7,1035
7,1089
7,1094
7,1119
7,1124
7,1146
7,1164
7,1166
7,1177
7,1193
7,1236
7,1265
7,1273
7,1278
7,1346
7,1381
7,1412
7,1418
7,1431
7,1435
7,1468
7,1472
7,1497
7,1598
7,1606
7,1607
7,1634
7,1652
7,1663
7,1675
7,1697
7,1702
7,1716
7,1760
7,1773
7,1786
7,1788
7,1837
7,1839
7,1894
7,1924
7,1936
7,2009
7,2047
7,2064
7,2144
7,2188
7,2203
7,2204
7,2222
7,2252
7,2277
7,2304
7,2334
7,2338
7,2397
7,2402
7,2413
7,2422
7,2439
7,2452
7,2519
7,2561
7,2599
7,2624
7,2636
7,2693
7,2707
7,2769
7,2789
7,2818
7,2861
7,2866
7,2903
7,2926
7,3001
7,3013
7,3027
7,3039
7,3177
7,3289
7,3298
7,3315
7,3341
7,3342
7,3351
7,3381
7,3389
7,3406
7,3408
7,3448
7,3498
7,3524
7,3540
7,3543
7,3572
7,3685
7,3698
7,3724
7,3774
7,3808
7,3826
7,3853
7,3860
7,3879
7,3911
7,3955
7,3968
7,4037
7,4062
7,4098
7,4108
7,4110
7,4125
7,4127
7,4192
7,4506
7,4523
7,4537
7,4550
7,4556
7,4591
7,4651
7,4693
7,4765
7,4886
7,4920
7,5008
7,5023
7,5039
7,5060
7,5076
7,5144
7,5148
7,5253
7,5275
7,5339
7,5346
7,5402
7,5500
7,5501
7,5505
7,5664
7,5690
7,5721
7,5831
7,5973
7,6100
7,6111
7,6129
7,6135
7,6148
7,6284
7,6379
7,6425
7,6541
7,6620
7,6653
7,6744
7,6773
7,6828
7,6864
7,6875
7,6988
7,6998
7,7069
7,7089
7,7279
7,7345
7,7429
7,7455
7,7515
7,7545
7,7561
7,7580
7,7620
7,7651
7,7679
7,7774
7,7815
7,7832
7,7897
7,7953
7,8012
7,8055
7,8439
7,8451
7,8486
7,8513
7,8548
7,8560
7,8601
7,8803
7,8917
7,8990
7,9372
7,9409
7,9635
7,9811
7,9948
7,9987
7,10005
7,10082
7,10172
7,10179
7,10208
7,10461
7,10526
7,10578
7,10610
7,10618
7,10859
7,10882
7,10897
7,11008
7,11017
7,11032
7,11050
7,11058
7,11136
7,11138
7,11215
7,11229
7,11276
7,11278
7,11346
7,11390
7,11563
7,11574
7,11628
7,11672
7,11729
7,11773
7,11947
7,11954
7,12106
7,12160
7,12209
7,12485
7,12504
7,12548
7,12622
7,12728
7,12751
7,12874
7,12940
7,12970
7,13031
7,13052
7,13075
7,13235
