trip_id,route_id,route_short_name,route_long_name,route_color,route_text_color,direction_id,scheduled_hour,dir_E,dir_N,dir_S,dir_W,dir_UNKNOWN
60428020,100,100,Flemingdon Park,ED1C24,FFFFFF,1,7,0,1,0,0,0
58240010,100,100,Flemingdon Park,ED1C24,FFFFFF,1,8,0,1,0,0,0
63189020,100,100,Flemingdon Park,ED1C24,FFFFFF,1,6,0,1,0,0,0
48270010,100,100,Flemingdon Park,ED1C24,FFFFFF,1,10,0,1,0,0,0
73388010,100,100,Flemingdon Park,ED1C24,FFFFFF,1,19,0,1,0,0,0
58786020,100,100,Flemingdon Park,ED1C24,FFFFFF,1,20,0,1,0,0,0
73558020,100,100,Flemingdon Park,ED1C24,FFFFFF,1,16,0,1,0,0,0
48577070,100,100,Flemingdon Park,ED1C24,FFFFFF,1,22,0,1,0,0,0
60076070,100,100,Flemingdon Park,ED1C24,FFFFFF,1,16,0,1,0,0,0
4859070,100,100,Flemingdon Park,ED1C24,FFFFFF,1,16,0,1,0,0,0
59709010,100,100,Flemingdon Park,ED1C24,FFFFFF,1,17,0,1,0,0,0
58907080,100,100,Flemingdon Park,ED1C24,FFFFFF,1,10,0,1,0,0,0
49199070,100,100,Flemingdon Park,ED1C24,FFFFFF,1,19,0,1,0,0,0
58939020,100,100,Flemingdon Park,ED1C24,FFFFFF,1,12,0,1,0,0,0
49342080,100,100,Flemingdon Park,ED1C24,FFFFFF,1,11,0,1,0,0,0
58997020,100,100,Flemingdon Park,ED1C24,FFFFFF,1,15,0,1,0,0,0
59479070,100,100,Flemingdon Park,ED1C24,FFFFFF,1,7,0,1,0,0,0
61371020,100,100,Flemingdon Park,ED1C24,FFFFFF,1,7,0,1,0,0,0
50435070,100,100,Flemingdon Park,ED1C24,FFFFFF,1,14,0,1,0,0,0
61630020,100,100,Flemingdon Park,ED1C24,FFFFFF,1,0,0,1,0,0,0
60693080,100,100,Flemingdon Park,ED1C24,FFFFFF,1,1,0,1,0,0,0
51659080,100,100,Flemingdon Park,ED1C24,FFFFFF,1,6,0,1,0,0,0
44399020,100,100,Flemingdon Park,ED1C24,FFFFFF,1,18,0,1,0,0,0
61865020,100,100,Flemingdon Park,ED1C24,FFFFFF,1,20,0,1,0,0,0
44469020,100,100,Flemingdon Park,ED1C24,FFFFFF,1,12,0,1,0,0,0
61902070,100,100,Flemingdon Park,ED1C24,FFFFFF,1,11,0,1,0,0,0
45109010,100,100,Flemingdon Park,ED1C24,FFFFFF,1,12,0,1,0,0,0
62050020,100,100,Flemingdon Park,ED1C24,FFFFFF,1,13,0,1,0,0,0
55579020,100,100,Flemingdon Park,ED1C24,FFFFFF,1,9,0,1,0,0,0
52046010,100,100,Flemingdon Park,ED1C24,FFFFFF,1,7,0,1,0,0,0
45214010,100,100,Flemingdon Park,ED1C24,FFFFFF,1,17,0,1,0,0,0
5214080,100,100,Flemingdon Park,ED1C24,FFFFFF,1,8,0,1,0,0,0
55980070,100,100,Flemingdon Park,ED1C24,FFFFFF,1,0,0,1,0,0,0
62641020,100,100,Flemingdon Park,ED1C24,FFFFFF,1,9,0,1,0,0,0
56188020,100,100,Flemingdon Park,ED1C24,FFFFFF,1,5,0,1,0,0,0
62673070,100,100,Flemingdon Park,ED1C24,FFFFFF,1,15,0,1,0,0,0
48872080,100,100,Flemingdon Park,ED1C24,FFFFFF,1,19,0,1,0,0,0
62753020,100,100,Flemingdon Park,ED1C24,FFFFFF,1,14,0,1,0,0,0
48993010,100,100,Flemingdon Park,ED1C24,FFFFFF,1,11,0,1,0,0,0
52944010,100,100,Flemingdon Park,ED1C24,FFFFFF,1,9,0,1,0,0,0
53841020,100,100,Flemingdon Park,ED1C24,FFFFFF,1,11,0,1,0,0,0
53111080,100,100,Flemingdon Park,ED1C24,FFFFFF,1,23,0,1,0,0,0
63968070,100,100,Flemingdon Park,ED1C24,FFFFFF,1,18,0,1,0,0,0
63334010,100,100,Flemingdon Park,ED1C24,FFFFFF,1,11,0,1,0,0,0
5414080,100,100,Flemingdon Park,ED1C24,FFFFFF,1,14,0,1,0,0,0
63493010,100,100,Flemingdon Park,ED1C24,FFFFFF,1,8,0,1,0,0,0
