route,location_id,avg_gap,median_gap,avg_delay,median_delay,major_delay_rate,gapping_rate,bunching_rate,n_incidents
68,25279,37.652,40.0,17.783,18.0,0.087,0.217,0.217,23
68,25499,33.071,30.0,17.06,16.0,0.104,0.104,0.216,268
79,18058,27.027,20.0,14.568,10.0,0.0,0.081,0.216,37
39,10507,28.0,34.0,15.464,17.0,0.25,0.071,0.214,28
25,7520,15.714,18.0,8.5,9.0,0.143,0.071,0.214,28
96,26371,30.214,35.0,16.786,18.0,0.143,0.036,0.214,28
52,15377,26.393,27.5,14.321,17.0,0.143,0.0,0.214,28
47,26592,22.176,19.0,11.565,9.0,0.035,0.035,0.212,85
96,26036,29.848,38.0,14.909,19.0,0.0,0.0,0.212,33
96,12126,35.023,39.0,21.093,20.0,0.186,0.07,0.209,43
37,12490,47.708,40.0,31.667,20.0,0.417,0.25,0.208,24
84,20672,24.042,16.0,12.417,8.0,0.167,0.208,0.208,24
11,4280,33.075,36.0,17.208,19.0,0.189,0.151,0.208,53
47,14945,26.464,24.0,14.864,12.0,0.112,0.088,0.208,125
94,25612,33.021,40.0,19.375,20.0,0.104,0.083,0.208,48
32,12898,18.583,20.0,9.542,10.0,0.042,0.042,0.208,24
7,3826,16.167,20.0,8.542,10.0,0.083,0.0,0.208,24
29,8028,16.586,16.0,8.31,8.0,0.138,0.138,0.207,29
925,7516,18.483,20.0,9.828,10.0,0.172,0.034,0.207,29
47,14953,24.724,24.0,12.276,12.0,0.034,0.034,0.207,29
929,8028,14.0,16.0,7.265,8.0,0.059,0.059,0.206,34
960,8086,15.231,18.0,10.718,9.0,0.256,0.128,0.205,39
37,12546,36.5,39.0,22.409,20.0,0.25,0.068,0.205,44
47,16061,25.455,24.0,12.659,12.0,0.045,0.045,0.205,44
116,17889,14.891,16.0,7.609,8.0,0.078,0.031,0.203,64
85,21991,36.75,44.0,21.25,22.0,0.7,0.35,0.2,20
63,14003,24.283,20.0,16.333,10.0,0.333,0.267,0.2,60
102,16437,24.36,20.0,13.2,10.0,0.16,0.24,0.2,25
52,15488,33.15,35.0,16.4,16.0,0.3,0.2,0.2,40
43,13680,23.95,20.0,13.65,10.0,0.2,0.2,0.2,20
54,8544,23.45,22.0,12.0,10.5,0.15,0.15,0.2,20
97,27087,54.9,52.0,31.8,26.0,0.1,0.15,0.2,20
85,21846,25.75,23.0,13.2,12.5,0.15,0.1,0.2,20
59,25963,47.96,50.0,26.0,25.0,0.16,0.08,0.2,25
89,25942,19.45,20.0,11.75,10.0,0.15,0.05,0.2,20
12,14203,35.35,41.0,20.6,21.5,0.3,0.0,0.2,20
25,19101,15.122,18.0,8.0,9.0,0.049,0.024,0.195,41
97,9529,45.012,50.0,24.657,27.0,0.012,0.018,0.195,169
95,9847,19.258,20.0,11.258,10.0,0.194,0.161,0.194,31
47,20124,27.274,29.5,14.661,15.5,0.145,0.048,0.194,62
25,18590,14.968,18.0,7.484,9.0,0.065,0.032,0.194,31
59,11630,52.346,58.0,29.615,30.0,0.154,0.077,0.192,26
59,15198,41.769,34.5,27.231,27.5,0.077,0.038,0.192,26
47,14977,23.654,20.0,12.058,10.0,0.019,0.019,0.192,52
39,10532,26.231,32.0,13.077,16.0,0.115,0.0,0.192,26
110,12513,32.346,27.5,17.423,14.5,0.115,0.0,0.192,26
97,27288,63.667,60.0,30.238,30.0,0.333,0.333,0.19,21
960,23517,22.476,20.0,13.286,10.0,0.286,0.238,0.19,21
37,26863,39.238,40.0,24.524,20.0,0.238,0.095,0.19,21
32,24624,20.762,24.0,10.333,12.0,0.095,0.048,0.19,21
96,12077,31.714,40.0,17.0,20.0,0.095,0.048,0.19,21
108,23513,34.476,40.0,18.19,20.0,0.095,0.048,0.19,21
63,19002,14.476,18.0,7.143,9.0,0.0,0.0,0.19,21
85,22145,30.865,40.0,15.486,20.0,0.216,0.108,0.189,37
47,14971,28.688,24.0,16.75,11.0,0.156,0.125,0.188,32
39,10649,30.156,30.0,17.5,15.0,0.156,0.094,0.188,64
47,14972,24.903,20.0,13.306,10.0,0.09,0.042,0.188,144
52,12932,32.023,36.0,16.488,18.0,0.163,0.023,0.186,43
32,9253,21.704,24.0,15.222,12.0,0.185,0.111,0.185,27
52,15132,32.444,36.0,16.148,19.0,0.222,0.074,0.185,27
25,7456,16.567,16.0,9.95,8.0,0.05,0.05,0.183,60
36,3380,13.818,12.0,6.955,6.0,0.136,0.273,0.182,22
29,8015,17.318,16.0,9.591,8.0,0.227,0.227,0.182,22
97,27043,61.227,60.0,38.682,30.0,0.318,0.205,0.182,44
52,13430,33.5,31.5,21.318,19.5,0.364,0.091,0.182,22
47,14966,28.773,32.0,15.227,18.0,0.182,0.091,0.182,22
7,3889,17.5,20.0,8.773,10.0,0.045,0.045,0.182,22
108,21819,33.86,40.0,18.4,20.0,0.18,0.04,0.18,50
925,8993,22.464,20.0,13.786,10.0,0.429,0.179,0.179,28
939,10558,22.786,23.0,12.071,11.5,0.179,0.143,0.179,28
40,8332,36.214,38.0,20.536,20.0,0.214,0.036,0.179,28
96,27571,31.142,38.0,16.29,20.0,0.151,0.012,0.179,324
96,25238,27.857,34.0,14.036,16.0,0.107,0.0,0.179,28
68,25442,35.335,33.0,18.939,17.0,0.102,0.132,0.178,197
39,10819,27.153,32.0,13.922,16.0,0.171,0.014,0.178,580
32,9172,21.351,23.0,10.73,12.0,0.135,0.095,0.176,74
116,17879,23.652,17.0,16.565,8.0,0.174,0.174,0.174,23
129,17164,29.652,30.0,16.739,18.0,0.174,0.174,0.174,23
47,14939,27.565,24.0,15.043,12.0,0.13,0.087,0.174,23
925,18590,20.348,20.0,11.304,10.0,0.217,0.043,0.174,23
79,15475,39.692,38.0,23.192,19.0,0.154,0.308,0.173,52
116,17854,15.18,16.0,7.887,8.0,0.068,0.03,0.173,133
39,17146,30.621,32.0,16.31,16.0,0.069,0.034,0.172,29
7,5865,16.759,20.0,8.207,10.0,0.0,0.0,0.172,29
37,12533,40.6,40.0,27.086,20.0,0.286,0.086,0.171,35
53,23638,24.128,19.0,15.596,7.0,0.234,0.298,0.17,47
47,5651,32.983,36.0,17.746,18.0,0.254,0.22,0.169,59
97,27270,59.071,60.0,30.452,30.0,0.143,0.214,0.167,42
939,10669,25.708,21.0,15.5,10.5,0.167,0.167,0.167,24
960,23571,19.583,16.5,12.208,9.0,0.208,0.125,0.167,24
68,25348,36.0,30.0,18.375,20.0,0.083,0.125,0.167,24
63,19044,17.045,17.0,9.303,8.5,0.121,0.091,0.167,66
25,7461,17.417,18.5,9.667,10.0,0.208,0.083,0.167,24
85,21844,23.458,23.5,11.792,11.5,0.042,0.042,0.167,24
37,12609,35.167,38.0,19.017,19.5,0.15,0.033,0.167,60
41,18058,17.476,19.0,9.143,9.0,0.095,0.024,0.167,42
100,26951,14.365,16.0,7.73,8.0,0.035,0.017,0.165,115
52,3392,32.738,34.0,17.246,19.0,0.262,0.131,0.164,61
